Model,AP,AP_small,AP_medium,AP_large
YOLO26n,0.10293524747724607,0.042481222509007,0.1638540946103844,0.32667498337213396
YOLO11n,0.12570866943205816,0.05055217137598028,0.20536604334942613,0.38319686427727806
