Model,Params_M,mAP50,mAP50-95,Precision,Recall
YOLO26n,2.5077,0.2779260344236279,0.15490137379642743,0.37591092747721117,0.2975828988473954
YOLO11n,2.59179,0.302009464087292,0.17120763481306903,0.4091407482512811,0.31160460457805716
